Date,Open,High,Low,Close,Adj Close,Volume
2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,40.82267761230469,6100
2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,41.328495025634766,29400
2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,41.5638427734375,25000
2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,41.989540100097656,52800
2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,42.174774169921875,61100
2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,41.81423568725586,64900
2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,41.914363861083984,40300
2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,41.914363861083984,40900
2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,42.505279541015625,35900
2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,42.76568603515625,32100
2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,43.29145050048828,75400
2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,43.4567756652832,130000
2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,43.076171875,87100
2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,42.595401763916016,85000
2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,42.72563552856445,47300
2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,43.20135498046875,40800
2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,42.97098922729492,40000
2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,42.595401763916016,34400
2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,43.016048431396484,20100
2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,43.056148529052734,23900
2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,42.785736083984375,301800
2002-08-28,86.04000091552734,86.18000030517578,85.83999633789062,85.87000274658203,43.00103759765625,18100
2002-08-29,86.76000213623047,86.86000061035156,86.3499984741211,86.55999755859375,43.34658432006836,135700
2002-08-30,86.75,87.12999725341797,86.44999694824219,87.08000183105469,43.60698699951172,78100
2002-09-03,87.08000183105469,88.04000091552734,87.0,88.04000091552734,44.27737045288086,102100
2002-09-04,88.02999877929688,88.30000305175781,87.83999633789062,88.0199966430664,44.26734924316406,66300
